# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.100294       1.634126e-01 -5.252667e-02 9.817431e-21 1.891071e-02 -5.548814e-02 3.889607e-22 1.445019e-01 2.961472e-03 9.428470e-21
0.199919       1.170890e-01 -5.652427e-02 3.737417e-20 1.608647e-02 -5.793097e-02 3.441388e-22 1.010026e-01 1.406700e-03 3.703003e-20
0.300617       9.891551e-02 -6.001087e-02 5.659652e-20 1.560498e-02 -6.083885e-02 3.462058e-22 8.331053e-02 8.279835e-04 5.625031e-20
0.399542       8.924649e-02 -6.263305e-02 6.467106e-20 1.568545e-02 -6.313211e-02 3.460412e-22 7.356104e-02 4.990543e-04 6.432502e-20
0.500761       8.303193e-02 -6.506476e-02 5.314815e-20 1.596281e-02 -6.533012e-02 3.437324e-22 6.706912e-02 2.653596e-04 5.280442e-20
0.599855       7.888706e-02 -6.720688e-02 3.721723e-20 1.630483e-02 -6.729972e-02 3.467925e-22 6.258223e-02 9.283919e-05 3.687044e-20
0.701074       7.584481e-02 -6.910027e-02 2.413778e-20 1.667128e-02 -6.905547e-02 3.518077e-22 5.917353e-02 -4.480526e-05 2.378597e-20
0.800075       7.363091e-02 -7.067796e-02 1.280891e-20 1.702374e-02 -7.052090e-02 3.554743e-22 5.660717e-02 -1.570506e-04 1.245343e-20
0.898995       7.193618e-02 -7.202289e-02 2.911252e-21 1.735958e-02 -7.177082e-02 3.557882e-22 5.457660e-02 -2.520748e-04 2.555464e-21
0.999969       7.059234e-02 -7.323588e-02 1.656068e-20 1.768558e-02 -7.290158e-02 3.521148e-22 5.290676e-02 -3.342964e-04 1.620856e-20
1.10084        6.954306e-02 -7.435074e-02 3.690088e-20 1.799295e-02 -7.394671e-02 3.459741e-22 5.155011e-02 -4.040248e-04 3.655490e-20
1.19947        6.873660e-02 -7.537756e-02 4.560776e-20 1.827048e-02 -7.491397e-02 3.397749e-22 5.046612e-02 -4.635912e-04 4.526798e-20
1.30013        6.808668e-02 -7.631103e-02 4.560533e-20 1.852002e-02 -7.579400e-02 3.350697e-22 4.956666e-02 -5.170309e-04 4.527026e-20
1.4007         6.757031e-02 -7.711701e-02 4.662213e-20 1.872684e-02 -7.655313e-02 3.327242e-22 4.884347e-02 -5.638712e-04 4.628941e-20
1.49904        6.715780e-02 -7.766417e-02 4.966659e-20 1.888200e-02 -7.705983e-02 3.325460e-22 4.827581e-02 -6.043415e-04 4.933404e-20
1.59942        6.680289e-02 -7.793042e-02 5.239845e-20 1.899358e-02 -7.729017e-02 3.340007e-22 4.780931e-02 -6.402442e-04 5.206445e-20
1.69971        6.649699e-02 -7.794356e-02 5.033739e-20 1.906589e-02 -7.727305e-02 3.364608e-22 4.743110e-02 -6.705129e-04 5.000093e-20
1.79992        6.622763e-02 -7.776410e-02 4.761472e-20 1.910808e-02 -7.706822e-02 3.394649e-22 4.711956e-02 -6.958793e-04 4.727526e-20
