# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.100186       5.898513e-02 2.379914e-01 2.707537e-20 2.674186e-02 2.425748e-01 1.629817e-21 3.224326e-02 -4.583459e-03 2.544555e-20
0.200156       5.459663e-02 2.621836e-01 1.254077e-20 2.840571e-02 2.657209e-01 1.520935e-21 2.619092e-02 -3.537351e-03 1.101983e-20
0.299928       5.292740e-02 2.835443e-01 -5.052557e-21 3.045858e-02 2.863913e-01 1.504249e-21 2.246882e-02 -2.846946e-03 -6.556806e-21
0.400692       5.156368e-02 2.989075e-01 -1.261704e-20 3.177674e-02 3.012258e-01 1.531883e-21 1.978694e-02 -2.318376e-03 -1.414892e-20
0.499493       5.057185e-02 3.113624e-01 -1.443071e-20 3.283588e-02 3.132601e-01 1.584782e-21 1.773597e-02 -1.897763e-03 -1.601549e-20
0.60043        4.981430e-02 3.226216e-01 -1.917893e-20 3.379556e-02 3.241608e-01 1.644396e-21 1.601874e-02 -1.539183e-03 -2.082333e-20
0.700655       4.923949e-02 3.324788e-01 -2.181327e-20 3.466723e-02 3.337126e-01 1.702058e-21 1.457226e-02 -1.233771e-03 -2.351532e-20
0.800259       4.876570e-02 3.411545e-01 -2.307574e-20 3.544731e-02 3.421220e-01 1.747330e-21 1.331839e-02 -9.674937e-04 -2.482307e-20
0.899324       4.844773e-02 3.490170e-01 -2.662192e-20 3.623760e-02 3.497488e-01 1.792048e-21 1.221013e-02 -7.318276e-04 -2.841397e-20
0.999325       4.814952e-02 3.558463e-01 -2.380957e-20 3.694370e-02 3.563659e-01 1.828351e-21 1.120581e-02 -5.196454e-04 -2.563792e-20
1.10033        4.791417e-02 3.619184e-01 -1.858342e-20 3.762737e-02 3.622451e-01 1.873276e-21 1.028680e-02 -3.266587e-04 -2.045669e-20
1.19964        4.781304e-02 3.675133e-01 -1.791471e-20 3.835532e-02 3.676685e-01 1.919334e-21 9.457716e-03 -1.551521e-04 -1.983404e-20
1.30012        4.786249e-02 3.730306e-01 -1.900712e-20 3.918370e-02 3.730263e-01 1.972211e-21 8.678797e-03 4.298817e-06 -2.097933e-20
1.40046        4.821175e-02 3.793905e-01 -1.904754e-20 4.026834e-02 3.792383e-01 2.009615e-21 7.943406e-03 1.522360e-04 -2.105715e-20
1.49936        4.862966e-02 3.852197e-01 -1.939486e-20 4.136745e-02 3.849311e-01 2.047855e-21 7.262204e-03 2.885606e-04 -2.144272e-20
1.59963        4.917101e-02 3.907084e-01 -2.062191e-20 4.254780e-02 3.902951e-01 2.096626e-21 6.623204e-03 4.132893e-04 -2.271853e-20
1.69998        4.985502e-02 3.959295e-01 -2.422877e-20 4.380263e-02 3.954029e-01 2.146416e-21 6.052388e-03 5.266158e-04 -2.637518e-20
1.80048        5.064038e-02 4.007485e-01 -3.059825e-20 4.507649e-02 4.001221e-01 2.162878e-21 5.563886e-03 6.264019e-04 -3.276113e-20
1.8998         5.151117e-02 4.049604e-01 -3.572474e-20 4.633701e-02 4.042583e-01 2.070557e-21 5.174167e-03 7.021903e-04 -3.779530e-20
1.999367       5.256946e-02 4.088042e-01 -3.398092e-20 4.769103e-02 4.080430e-01 1.780339e-21 4.878431e-03 7.611150e-04 -3.576126e-20
2.100619       5.372470e-02 4.119160e-01 -3.059485e-20 4.902392e-02 4.111278e-01 1.400794e-21 4.700785e-03 7.882160e-04 -3.199564e-20
2.199421       5.483999e-02 4.139738e-01 -2.461695e-20 5.019925e-02 4.132008e-01 1.289564e-21 4.640738e-03 7.729891e-04 -2.590652e-20
2.299968       5.592796e-02 4.150113e-01 -1.639749e-20 5.130393e-02 4.142567e-01 1.533937e-21 4.624024e-03 7.546444e-04 -1.793143e-20
2.399492       5.700420e-02 4.148775e-01 -9.308055e-21 5.228995e-02 4.141483e-01 1.888223e-21 4.714250e-03 7.291481e-04 -1.119628e-20
2.499416       5.795701e-02 4.130583e-01 -1.811973e-21 5.303153e-02 4.124129e-01 2.126939e-21 4.925477e-03 6.453987e-04 -3.938911e-21
2.599781       5.852611e-02 4.085026e-01 1.495060e-21 5.338574e-02 4.079685e-01 2.166213e-21 5.140372e-03 5.340694e-04 -6.711528e-22
2.700629       5.839299e-02 4.000607e-01 -1.315061e-21 5.298135e-02 3.996166e-01 1.858620e-21 5.411637e-03 4.440208e-04 -3.173681e-21
2.800583       5.863464e-02 3.932025e-01 -7.278166e-21 5.285366e-02 3.929037e-01 1.092754e-21 5.780974e-03 2.987960e-04 -8.370919e-21
2.899665       6.007955e-02 3.949232e-01 -1.215368e-20 5.400856e-02 3.947388e-01 3.374005e-22 6.070989e-03 1.844086e-04 -1.249108e-20
3.0007138      6.399203e-02 4.121540e-01 -1.338185e-20 5.783967e-02 4.120174e-01 -7.060931e-23 6.152363e-03 1.365151e-04 -1.331124e-20
3.1007115      6.938903e-02 4.381493e-01 -1.651900e-20 6.321275e-02 4.380479e-01 -2.266442e-22 6.176277e-03 1.014345e-04 -1.629235e-20
3.1994683      7.454130e-02 4.629722e-01 -2.190435e-20 6.844803e-02 4.628389e-01 -2.346711e-22 6.093277e-03 1.333633e-04 -2.166968e-20
3.29974        7.901818e-02 4.830887e-01 -2.929255e-20 7.299467e-02 4.829656e-01 -5.848114e-23 6.023518e-03 1.231033e-04 -2.923407e-20
3.399993       8.334434e-02 5.017174e-01 -3.524362e-20 7.731317e-02 5.015906e-01 5.158162e-22 6.031162e-03 1.268206e-04 -3.575943e-20
