# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.100294       -2.626333e-02 -8.170629e-02 -1.044382e-02 -2.774407e-02 -9.455354e-03 -1.263930e-02 1.480736e-03 -7.225094e-02 2.195477e-03
0.199919       -2.826214e-02 -5.854452e-02 -1.257206e-02 -2.896549e-02 -8.043234e-03 -1.394194e-02 7.033502e-04 -5.050128e-02 1.369882e-03
0.300617       -3.000543e-02 -4.945775e-02 -1.411508e-02 -3.041943e-02 -7.802489e-03 -1.518118e-02 4.139918e-04 -4.165527e-02 1.066095e-03
0.399542       -3.131653e-02 -4.462324e-02 -1.511310e-02 -3.156605e-02 -7.842725e-03 -1.601201e-02 2.495271e-04 -3.678052e-02 8.989037e-04
0.500761       -3.253238e-02 -4.151596e-02 -1.603600e-02 -3.266506e-02 -7.981404e-03 -1.682117e-02 1.326798e-04 -3.353456e-02 7.851677e-04
0.599855       -3.360344e-02 -3.944353e-02 -1.684606e-02 -3.364986e-02 -8.152415e-03 -1.754964e-02 4.641960e-05 -3.129111e-02 7.035789e-04
0.701074       -3.455014e-02 -3.792240e-02 -1.753477e-02 -3.452773e-02 -8.335638e-03 -1.817494e-02 -2.240263e-05 -2.958677e-02 6.401647e-04
0.800075       -3.533898e-02 -3.681546e-02 -1.808234e-02 -3.526045e-02 -8.511871e-03 -1.867162e-02 -7.852530e-05 -2.830358e-02 5.892857e-04
0.898995       -3.601145e-02 -3.596809e-02 -1.852302e-02 -3.588541e-02 -8.679789e-03 -1.906989e-02 -1.260374e-04 -2.728830e-02 5.468718e-04
0.999969       -3.661794e-02 -3.529617e-02 -1.891769e-02 -3.645079e-02 -8.842792e-03 -1.942847e-02 -1.671482e-04 -2.645338e-02 5.107807e-04
1.10084        -3.717537e-02 -3.477153e-02 -1.930278e-02 -3.697336e-02 -8.996473e-03 -1.978336e-02 -2.020124e-04 -2.577506e-02 4.805824e-04
