# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.100186       1.189957e-01 -2.949256e-02 3.718491e-02 1.212874e-01 -1.337093e-02 4.006200e-02 -2.291729e-03 -1.612163e-02 -2.877090e-03
0.200156       1.310918e-01 -2.729831e-02 4.982265e-02 1.328605e-01 -1.420286e-02 5.218318e-02 -1.768676e-03 -1.309546e-02 -2.360530e-03
0.299928       1.417722e-01 -2.646370e-02 6.025447e-02 1.431956e-01 -1.522929e-02 6.225871e-02 -1.423473e-03 -1.123441e-02 -2.004246e-03
0.400692       1.494537e-01 -2.578184e-02 6.639631e-02 1.506129e-01 -1.588837e-02 6.811199e-02 -1.159188e-03 -9.893472e-03 -1.715681e-03
0.499493       1.556812e-01 -2.528592e-02 7.082157e-02 1.566301e-01 -1.641794e-02 7.229771e-02 -9.488817e-04 -8.867984e-03 -1.476148e-03
0.60043        1.613108e-01 -2.490715e-02 7.458556e-02 1.620804e-01 -1.689778e-02 7.585015e-02 -7.695914e-04 -8.009372e-03 -1.264586e-03
0.700655       1.662394e-01 -2.461975e-02 7.768742e-02 1.668563e-01 -1.733361e-02 7.876730e-02 -6.168853e-04 -7.286132e-03 -1.079877e-03
0.800259       1.705773e-01 -2.438285e-02 8.026030e-02 1.710610e-01 -1.772366e-02 8.117557e-02 -4.837468e-04 -6.659194e-03 -9.152698e-04
0.899324       1.745085e-01 -2.422386e-02 8.248285e-02 1.748744e-01 -1.811880e-02 8.324912e-02 -3.659138e-04 -6.105063e-03 -7.662690e-04
0.999325       1.779231e-01 -2.407476e-02 8.420710e-02 1.781830e-01 -1.847185e-02 8.483590e-02 -2.598227e-04 -5.602907e-03 -6.287991e-04
1.10033        1.809592e-01 -2.395709e-02 8.555244e-02 1.811225e-01 -1.881369e-02 8.605351e-02 -1.633293e-04 -5.143398e-03 -5.010636e-04
1.19964        1.837567e-01 -2.390652e-02 8.680391e-02 1.838342e-01 -1.917766e-02 8.718912e-02 -7.757603e-05 -4.728858e-03 -3.852148e-04
1.30012        1.865153e-01 -2.393125e-02 8.819026e-02 1.865131e-01 -1.959185e-02 8.846616e-02 2.149408e-06 -4.339398e-03 -2.759032e-04
1.40046        1.896952e-01 -2.410587e-02 9.017106e-02 1.896191e-01 -2.013417e-02 9.034239e-02 7.611802e-05 -3.971703e-03 -1.713236e-04
1.49936        1.926098e-01 -2.431483e-02 9.197993e-02 1.924656e-01 -2.068373e-02 9.205216e-02 1.442803e-04 -3.631102e-03 -7.222907e-05
1.59963        1.953542e-01 -2.458550e-02 9.364666e-02 1.951476e-01 -2.127390e-02 9.362536e-02 2.066446e-04 -3.311602e-03 2.130441e-05
1.69998        1.979647e-01 -2.492751e-02 9.524247e-02 1.977014e-01 -2.190132e-02 9.513568e-02 2.633079e-04 -3.026194e-03 1.067853e-04
1.80048        2.003742e-01 -2.532019e-02 9.663403e-02 2.000610e-01 -2.253825e-02 9.645070e-02 3.132009e-04 -2.781943e-03 1.833294e-04
1.8998         2.024802e-01 -2.575559e-02 9.774245e-02 2.021291e-01 -2.316850e-02 9.749745e-02 3.510952e-04 -2.587084e-03 2.449969e-04
1.999367       2.044021e-01 -2.628473e-02 9.875791e-02 2.040215e-01 -2.384551e-02 9.846288e-02 3.805575e-04 -2.439216e-03 2.950235e-04
2.100619       2.059580e-01 -2.686235e-02 9.946858e-02 2.055639e-01 -2.451196e-02 9.914401e-02 3.941080e-04 -2.350393e-03 3.245677e-04
2.199421       2.069869e-01 -2.741999e-02 9.971887e-02 2.066004e-01 -2.509963e-02 9.938857e-02 3.864945e-04 -2.320369e-03 3.302973e-04
2.299968       2.075056e-01 -2.796398e-02 9.953590e-02 2.071283e-01 -2.565197e-02 9.920350e-02 3.773222e-04 -2.312012e-03 3.323954e-04
2.399492       2.074387e-01 -2.850210e-02 9.871239e-02 2.070742e-01 -2.614498e-02 9.839129e-02 3.645740e-04 -2.357125e-03 3.211037e-04
2.499416       2.065291e-01 -2.897851e-02 9.670254e-02 2.062064e-01 -2.651577e-02 9.642408e-02 3.226993e-04 -2.462739e-03 2.784607e-04
2.599781       2.042513e-01 -2.926305e-02 9.301695e-02 2.039843e-01 -2.669287e-02 9.279393e-02 2.670347e-04 -2.570186e-03 2.230215e-04
2.700629       2.000303e-01 -2.919650e-02 8.688272e-02 1.998083e-01 -2.649068e-02 8.671190e-02 2.220104e-04 -2.705819e-03 1.708166e-04
2.800583       1.966013e-01 -2.931732e-02 8.155542e-02 1.964519e-01 -2.642683e-02 8.147012e-02 1.493980e-04 -2.890487e-03 8.529952e-05
2.899665       1.974616e-01 -3.003977e-02 8.228008e-02 1.973694e-01 -2.700428e-02 8.226649e-02 9.220432e-05 -3.035494e-03 1.358993e-05
3.0007138      2.060770e-01 -3.199601e-02 9.381860e-02 2.060087e-01 -2.891983e-02 9.383582e-02 6.825757e-05 -3.076181e-03 -1.721953e-05
3.1007115      2.190747e-01 -3.469451e-02 1.113469e-01 2.190239e-01 -3.160638e-02 1.113888e-01 5.071726e-05 -3.088138e-03 -4.189601e-05
3.1994683      2.314861e-01 -3.727065e-02 1.279183e-01 2.314194e-01 -3.422401e-02 1.279474e-01 6.668163e-05 -3.046638e-03 -2.902312e-05
